m.03hxsv	Harry Potter and the Half-Blood Prince	m.06_n1_	David Yates	film.film.directed_by
m.04vr_f	The Departed	m.04sry	Martin Scorsese	award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,film.film.directed_by,award.award_winning_work.awards_won..award.award_honor.award_winner
m.075wx7_	Eclipse	m.026shf9	David Slade	film.film.directed_by,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee
m.0209hj	Gandhi	m.0kr5_	Richard Attenborough	award.award_winning_work.awards_won..award.award_honor.award_winner,film.film.produced_by,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,film.film.directed_by
m.0168ls	Spartacus	m.06mn7	Stanley Kubrick	film.film.directed_by,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee
m.0404j37	The Hurt Locker	m.01f8ld	Kathryn Bigelow	award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,award.award_winning_work.awards_won..award.award_honor.award_winner,film.film.directed_by,film.film.produced_by
m.011yxg	Moulin Rouge!	m.013tcv	Baz Luhrmann	film.film.produced_by,film.film.directed_by,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,film.film.written_by,award.award_winning_work.awards_won..award.award_honor.award_winner
m.0cd2vh9	X-Men: First Class	m.030_00	Matthew Vaughn	film.film.written_by,film.film.directed_by
m.0cp0790	Barney's Version	m.09tpg9	Richard J. Lewis	award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,film.film.starring..film.performance.actor,film.film.directed_by
m.063fh9	The Chronicles of Narnia: Prince Caspian	m.04bz4n	Andrew Adamson	film.film.produced_by,film.film.written_by,film.film.directed_by
m.049xgc	The Aviator	m.04sry	Martin Scorsese	film.film.directed_by,film.film.executive_produced_by,film.film.starring..film.performance.actor,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,award.award_winning_work.awards_won..award.award_honor.award_winner
m.0cc5qkt	War Horse	m.06pj8	Steven Spielberg	film.film.produced_by,film.film.directed_by,award.award_winning_work.awards_won..award.award_honor.award_winner,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee
